Symbol,PC1,PC2
ELV,-0.04104437,-0.019457909
CRL,0.322514412,-0.036948799
ROK,-0.476399844,-0.017855139
MO,-0.310066121,0.007565479
MSI,0.147887701,-0.05892921
META,-0.014344924,0.29214429
EW,-0.018773962,-0.002237868
GOOGL,0.231260047,0.523429922
IQV,0.079436174,-0.040838625
KVUE,-0.015547438,0.229411276
MA,0.59127813,0.022343819
MMC,-0.234232129,-0.042854854
VMC,0.276219831,-0.048829704
CHRW,0.15601593,-0.054913616
XOM,0.176047468,0.156397773
EMR,-0.55216788,-0.028505295
NI,-0.406774637,-0.0093311
MPC,0.033935635,-0.021197681
FIS,0.133541285,-0.015702875
ORLY,0.216487265,-0.046144226
EQT,-0.174934862,0.00248709
EG,0.209402728,-0.055276167
TROW,0.141227316,-0.031235659
FE,0.141042324,-0.039241053
MAS,-0.183911365,-0.029998333
TMUS,0.256793372,-0.007250113
WYNN,0.408994118,-0.030799988
CVX,0.297356572,0.06121436
EXPE,0.063787331,0.015250066
LIN,0.241213384,-0.020965897
NDSN,-0.207204345,-0.060532764
RF,-0.260669333,0.038507046
ZBRA,-0.02671277,0.015199311
CE,-0.418144158,-0.024941737
SWK,0.310078125,-0.030236382
WBD,0.126708247,0.123100847
AIZ,0.064780675,-0.062274996
MLM,0.221691815,-0.046744145
ANET,0.277939426,0.036260689
PH,0.165870885,-0.034553584
OKE,-0.162555342,-0.017450397
CDNS,-0.284246119,-0.018872885
DLR,-0.101089626,-0.016679177
F,0.063327486,0.270400241
TDY,-0.184084425,-0.046714385
KHC,-0.408275548,-0.005632504
DOV,-0.23185667,-0.051619348
JCI,0.383365934,-0.025243131
MCK,0.154300533,-0.047725989
SJM,-0.198338571,-0.045634885
LNT,0.137744898,-0.054789691
FRT,0.090502269,-0.057427297
EA,0.187218643,-0.040021486
NCLH,0.117699454,0.075949991
AEE,0.807587594,-0.064794554
TYL,-0.28331301,-0.036148783
WHR,-0.146251336,-0.002504025
GILD,-0.117831789,-0.005022055
LHX,-0.004271682,-0.026072232
FCX,-0.098079032,0.039376596
MOS,-0.443173944,0.008540484
CMI,-0.042987236,-0.042220582
REGN,-0.442949431,-0.03042936
AMT,-0.066360727,-0.001804749
LUV,0.033436943,0.008770102
SBUX,-0.253492604,-0.000707699
NOW,0.10913056,-0.002087045
MRO,0.12757041,0.029461328
MDLZ,-0.157980942,0.001527151
D,-0.485278242,0.000189069
J,0.343914617,-0.063766233
APTV,0.077498562,-0.024545177
TRV,0.013565752,-0.048231582
BG,-0.602971643,-0.033477071
RMD,0.11864413,0.024911015
CMG,0.117795331,-0.029935553
DXCM,0.041465549,0.049641278
TRMB,0.109287549,-0.035261041
CNC,0.132557646,-0.019445243
COO,0.060551245,-0.057788641
EL,-0.192093514,-0.005449945
SYY,-0.033455592,-0.045125889
ENPH,-0.009834696,0.068724439
TTWO,-0.338130327,-0.030957279
DRI,1.315798223,-0.087124139
JKHY,0.015400949,-0.052199516
MU,0.310243194,0.053157787
ADSK,2.191025878,-0.077680803
ISRG,0.163984487,-0.00276054
ADI,-0.119808361,-0.009373375
AEP,-0.051384243,-0.030321802
DVN,0.139576227,0.027862921
GEN,-0.319009583,-0.008927283
CNP,-0.120523168,-0.031662641
K,-0.225846105,-0.039310537
AMCR,0.196432953,-0.017745899
VRSN,-0.376048153,-0.046396344
GWW,0.111211738,-0.049369105
BA,-0.055208417,0.017785346
BRK.B,0.250814521,0.122319527
ABNB,-0.567970117,0.046603825
DE,-0.188669381,-0.009215473
COF,-0.13479184,-0.011746014
PXD,-0.050007122,-0.011701907
UDR,0.224082671,-0.046701661
PPG,0.043528913,-0.042114725
GPN,-0.198672793,-0.014665261
SEDG,1.227796023,0.08167374
AIG,0.328975289,-0.044157022
LKQ,0.178585727,-0.051434159
VRTX,0.380184584,-0.045822527
KMB,-0.24746094,-0.04998611
PKG,-0.326575395,-0.038822094
PHM,-0.451320886,0.001348067
HAL,-0.384300125,0.021500097
APA,-0.600740396,0.016160122
FOXA,0.287637196,-0.032919588
L,-0.182152472,-0.065935815
RHI,0.206449757,-0.047802171
TFC,-0.17288761,0.056698563
ESS,0.33360455,-0.066587239
SNPS,0.061089694,-0.031276439
JPM,0.203932695,0.079035782
NOC,-0.120321722,-0.018346617
ZION,-0.141688333,0.042864879
PAYX,-0.034190491,-0.04611372
UHS,-0.333487948,-0.038123634
DG,0.266490614,0.012560459
DHR,-0.087556491,0.003433428
IDXX,-0.227857492,-0.020520301
MNST,-0.300042752,0.002077065
CTVA,0.083664765,-0.027068607
BEN,0.172471079,-0.032158846
OXY,-0.17460949,0.030208195
LYB,-0.379078995,-0.034301282
ZBH,-0.132818498,-0.033317063
GS,-0.175012381,-0.015206297
CCL,0.26013987,0.140652515
MKTX,0.093812956,-0.011796324
ZTS,-0.145834958,-0.018322096
CSGP,-0.011005801,-0.019496322
DPZ,0.192938078,-0.036149904
CARR,0.101629577,0.000798456
IR,-0.421607357,-0.025449501
AAPL,-0.041083268,0.97222663
CAT,-0.104945564,0.002448544
CPB,-0.234018198,-0.035658076
OTIS,-0.258091975,-0.048100568
JNPR,-0.31325254,-0.015082662
DLTR,0.12250442,-0.010452848
MSFT,0.145334098,0.727095884
NUE,0.08026157,-0.022816034
DTE,-0.032744899,-0.047427909
IT,0.296566976,-0.061235139
GE,-0.273551573,0.013963993
BR,-0.140976583,-0.054415763
WRB,0.024702357,-0.051605678
CMS,0.128003616,-0.044753319
FFIV,0.329823855,-0.05956886
IPG,0.299098316,0.001530669
BMY,-0.465162154,0.045053215
NFLX,-0.158795423,0.082026163
LDOS,0.22301769,-0.060344597
RSG,-0.176324897,-0.053530713
WDC,-0.084958249,0.016210057
HBAN,-0.810844644,0.053591933
IRM,-0.118367252,-0.043394197
TSN,-0.236949459,-0.033649281
ULTA,0.024042736,-0.047501138
O,-0.049181419,-0.018238611
WAT,0.100887933,-0.036700218
YUM,0.417589828,-0.064495531
ARE,0.191214774,-0.032476722
PSX,0.091241792,-0.026394321
RVTY,-0.048412431,-0.003506593
ROP,-0.214250924,-0.058744608
STT,-0.006939625,-0.011532115
PCG,0.189478749,0.048021303
QRVO,0.086114184,-0.031974314
ALGN,-0.195135786,0.06936325
GOOG,0.230810566,0.490347484
FMC,-0.346536429,0.017412573
PAYC,-0.002583474,0.01318422
TER,0.128846464,-0.024596575
ABBV,-0.130132951,0.025638396
ALK,-0.36699833,-0.014126713
ON,0.135339084,0.07722608
C,-0.444715218,0.06872841
USB,0.021313203,0.059938685
GEHC,0.247935538,-0.036820753
HPE,-0.790925434,0.041422329
HOLX,-0.173889385,-0.049275875
MTCH,-0.479885867,0.011321882
NEE,-0.243362846,0.095113762
BIO,-0.241711263,-0.023915835
BLK,0.276331817,-0.042135416
UAL,-0.203081888,0.018614964
AMAT,0.030926093,0.031852075
SYK,-0.267304912,-0.009349867
COP,-0.015837639,0.016043453
GLW,0.053436701,-0.040431869
TAP,-0.028340467,-0.040455868
EOG,0.109784233,-0.013443067
DOW,-0.333235379,-0.022589763
EQIX,-0.14087238,-0.027073635
GIS,0.148625858,-0.03804902
LVS,-0.191696542,0.002527676
OMC,-0.380303534,-0.021901026
FDS,-0.054819955,-0.061136551
PANW,0.278624555,0.034120691
ADM,-0.254638352,-0.029260663
AKAM,0.417811668,-0.053428246
FAST,-0.270523822,-0.028853077
MDT,0.029551124,-0.005311826
HSIC,-0.24976874,-0.055958841
RJF,0.062774406,-0.041541947
MKC,1.204798705,-0.056958234
NTAP,-0.242741905,-0.052565303
AVGO,0.196399023,0.068081051
COR,-0.371387996,-0.049642218
EMN,0.046494863,-0.035997407
SPGI,0.027873518,-0.018128222
WFC,-0.139433908,0.07117515
IBM,-0.080853153,-0.013109446
MRK,-0.303663194,0.044616804
MCO,-0.451240089,-0.032763366
INCY,-0.457045152,-0.037906764
EVRG,0.2587526,-0.050576473
AON,0.269384168,-0.051618016
TXN,2.190642586,-0.040398405
POOL,-0.576965099,-0.022394445
CBOE,-0.271910845,-0.059672514
AMP,-0.402460079,-0.042521265
CMCSA,-0.020594631,0.096909295
ABT,-0.133549423,0.014518256
KMX,0.067727984,-0.005713239
MGM,0.25243663,-0.000620448
STE,0.238354941,-0.064587438
WTW,-0.217388856,-0.022072672
LOW,-0.267589444,-0.012723681
EQR,0.44072251,-0.065567808
CVS,-0.005324135,0.024055292
AOS,-0.003331885,-0.042342524
PEP,0.016475816,0.01971601
VTRS,-0.277653612,0.008095792
AXON,-0.42514922,0.002345275
ADBE,0.16144519,0.03829612
SBAC,0.024322263,-0.017440281
WELL,0.048342969,-0.030382615
LLY,-0.630481556,0.143306129
GD,-0.226941605,-0.031510222
TEL,-0.105749285,-0.046510425
CEG,-0.591672515,-0.017313963
UNP,0.307542196,-0.013423642
BKR,-0.147320877,-0.007217421
ACGL,0.008965712,-0.038248753
RTX,0.028357512,0.054884667
TRGP,-0.017287557,-0.048066238
PNC,-0.158447846,-0.017908382
FOX,0.287057171,-0.05117284
MPWR,-0.388351953,0.013737857
AMZN,0.314009394,0.642620636
APD,0.25796485,-0.046177952
DAL,0.306694447,0.002107373
VTR,-0.123899722,-0.02416952
KLAC,-0.081215785,-0.00255636
FDX,0.27886398,-0.035953961
BKNG,0.06288094,-0.012552096
CTAS,-0.024896291,-0.051079621
EFX,-0.007173268,-0.027106372
WEC,-0.12387721,-0.044276617
STX,-0.381218276,0.013872293
CL,-0.322108874,-0.027986463
NSC,0.134034026,-0.039847178
NVDA,0.444677887,0.545785618
ITW,-0.107248151,-0.040084125
HD,-0.026717897,0.019368821
PARA,0.084527049,0.067520972
CTSH,-0.180361153,-0.028111609
CAG,-0.209911031,-0.031395651
TT,0.009165091,-0.033334625
HAS,0.121917972,-0.004442494
KDP,0.571865055,-0.011940201
SRE,-0.233307007,-0.033048257
HRL,0.094650571,-0.025561567
EIX,-0.135866418,-0.037895772
CHD,-0.383249027,-0.048212165
PG,0.028557002,0.040658333
BF.B,-0.353517823,-0.028299631
UPS,0.14014793,-0.010376143
VFC,-0.221258615,0.071729458
DD,0.189848492,-0.051884448
CSCO,0.146813914,0.077846071
DUK,-0.402538066,-0.018503229
SWKS,-0.617192798,-0.017344356
TXT,-0.29077452,-0.024449634
STLD,0.565484599,-0.029590854
GNRC,0.057646814,0.060042091
MET,-0.281238058,-0.019644673
REG,0.034997035,-0.057428212
ALL,-0.25088661,-0.010497969
AMGN,-0.451849265,0.00596687
WM,-0.330275776,-0.032891944
EBAY,0.531317481,-0.01167757
KEYS,0.119661379,-0.02139644
RCL,1.146770863,-0.028942161
NKE,0.094360085,0.035389657
WMT,-0.163436083,0.064498447
HLT,-0.006900801,-0.038773886
INTU,0.048997261,-0.006521177
PYPL,0.235993703,0.086617771
ECL,0.269640186,-0.062048612
MS,-0.176563575,0.031874003
ILMN,-0.019250118,-0.016862295
PODD,1.631809577,-0.018905694
GPC,0.110670642,-0.022884407
BWA,-0.000627275,-0.025724287
HES,0.470473574,-0.017394693
